,background,body,clothes,eyes,hands,head_gear,held_item,wristband
0,blue,maroon,cyan_dot,standard,standard,red_hat,nut,blue
1,white,green,none,standard,standard,none,nut,none
2,white,maroon,purple_dot,standard,standard,none,nut,none
3,blue,maroon,cyan_dot,standard,standard,blue_hat,nut,blue
4,blue,green,none,standard,standard,blue_hat,none,blue
5,white,maroon,none,standard,standard,blue_hat,nut,blue
6,blue,maroon,cyan_dot,standard,standard,blue_hat,nut,none
7,white,green,none,standard,standard,red_hat,nut,none
8,white,maroon,cyan_dot,standard,standard,none,nut,none
9,white,maroon,cyan_dot,standard,standard,blue_hat,nut,none
10,blue,green,cyan_dot,standard,standard,red_hat,nut,blue
11,blue,yellow,purple_dot,standard,standard,red_hat,nut,red
12,white,maroon,purple_dot,standard,standard,blue_hat,nut,none
13,white,maroon,none,standard,standard,blue_hat,nut,red
14,blue,maroon,cyan_dot,standard,standard,red_hat,nut,red
15,blue,maroon,cyan_dot,standard,standard,none,nut,none
16,blue,maroon,purple_dot,standard,standard,blue_hat,nut,none
17,white,green,none,standard,standard,red_hat,nut,blue
18,white,maroon,none,standard,standard,black_hat,nut,none
19,white,maroon,cyan_dot,standard,standard,red_hat,none,none
20,blue,green,none,standard,standard,blue_hat,nut,none
21,white,maroon,cyan_dot,standard,standard,red_hat,nut,none
22,blue,green,none,standard,standard,none,nut,none
23,blue,maroon,purple_dot,standard,standard,none,nut,blue
24,blue,maroon,purple_dot,standard,standard,red_hat,nut,none
25,blue,maroon,purple_dot,standard,standard,black_hat,none,none
26,blue,maroon,none,standard,standard,red_hat,nut,red
27,white,green,cyan_dot,standard,standard,blue_hat,nut,yellow
28,blue,green,cyan_dot,standard,standard,red_hat,nut,red
29,blue,green,none,standard,standard,red_hat,none,red
30,blue,green,purple_dot,standard,standard,red_hat,nut,none
31,white,maroon,none,standard,standard,none,nut,none
32,blue,maroon,cyan_dot,standard,standard,red_hat,nut,none
33,white,maroon,none,standard,standard,none,nut,red
34,white,green,cyan_dot,standard,standard,blue_hat,nut,blue
35,blue,maroon,none,standard,standard,blue_hat,nut,blue
36,white,maroon,cyan_dot,standard,standard,red_hat,nut,blue
37,white,maroon,none,standard,standard,blue_hat,nut,none
38,blue,maroon,none,standard,standard,blue_hat,nut,red
39,blue,green,none,standard,standard,blue_hat,nut,blue
40,blue,green,cyan_dot,standard,standard,blue_hat,nut,none
41,white,maroon,none,standard,standard,red_hat,none,none
42,white,maroon,purple_dot,standard,standard,red_hat,nut,none
43,blue,green,none,standard,standard,black_hat,nut,blue
44,blue,green,none,standard,standard,blue_hat,nut,red
45,white,green,cyan_dot,standard,standard,red_hat,nut,none
46,white,green,none,standard,standard,none,nut,red
47,white,maroon,none,standard,standard,red_hat,none,yellow
48,white,maroon,cyan_dot,standard,standard,blue_hat,nut,red
49,blue,maroon,none,standard,standard,blue_hat,none,none
50,white,green,none,standard,standard,blue_hat,none,blue
51,white,green,cyan_dot,standard,standard,none,nut,none
52,blue,maroon,none,standard,standard,none,none,blue
53,blue,maroon,none,standard,standard,blue_hat,nut,none
54,white,green,purple_dot,standard,standard,red_hat,none,none
55,white,maroon,cyan_dot,standard,standard,none,nut,blue
56,blue,maroon,purple_dot,standard,standard,blue_hat,none,blue
57,blue,green,none,standard,standard,blue_hat,none,yellow
58,blue,green,none,standard,standard,red_hat,nut,yellow
59,blue,green,cyan_dot,standard,standard,blue_hat,none,red
60,white,maroon,cyan_dot,standard,standard,blue_hat,nut,blue
61,blue,maroon,cyan_dot,standard,standard,red_hat,none,none
62,white,green,none,standard,standard,none,nut,blue
63,blue,green,cyan_dot,standard,standard,none,nut,blue
64,blue,maroon,none,standard,standard,red_hat,none,blue
65,white,green,cyan_dot,standard,standard,blue_hat,nut,none
66,white,maroon,cyan_dot,standard,standard,blue_hat,none,none
67,white,green,cyan_dot,standard,standard,none,none,none
68,blue,maroon,purple_dot,standard,standard,blue_hat,nut,blue
69,white,maroon,none,standard,standard,red_hat,nut,red
70,blue,green,none,standard,standard,red_hat,nut,blue
71,white,maroon,purple_dot,standard,standard,black_hat,nut,red
