,background,body,clothes,eyes,hands,head_gear,held_item,wristband
0,white,maroon,blue_dot,standard,standard,none,nut,yellow
1,blue,maroon,none,standard,standard,none,none,none
2,blue,maroon,blue_dot,standard,standard,stdlord,nut,yellow
3,blue,maroon,blue_dot,standard,standard,stdlord,nut,none
4,blue,maroon,none,standard,standard,stdlord,none,yellow
5,white,maroon,blue_dot,standard,standard,stdlord,nut,none
6,blue,maroon,none,standard,standard,stdlord,none,none
7,blue,maroon,blue_dot,standard,standard,stdlord,none,yellow
8,blue,maroon,blue_dot,standard,standard,stdlord,none,none
9,blue,maroon,blue_dot,standard,standard,none,nut,yellow
10,blue,maroon,blue_dot,standard,standard,none,none,yellow
11,blue,maroon,none,standard,standard,none,nut,yellow
12,blue,maroon,none,standard,standard,stdlord,nut,none
13,white,maroon,none,standard,standard,none,none,none
14,white,maroon,none,standard,standard,stdlord,none,none
15,blue,maroon,blue_dot,standard,standard,none,nut,none
16,blue,maroon,blue_dot,standard,standard,none,none,none
17,blue,maroon,none,standard,standard,none,none,yellow
