,background,body,clothes,eyes,hands,head_gear,held_item,wristband
0,white,maroon,none,standard,standard,none,nut,yellow
1,white,maroon,blue_dot,standard,standard,red_hat,none,yellow
2,white,maroon,none,standard,standard,black_hat,nut,yellow
3,blue,maroon,blue_dot,standard,standard,red_hat,none,yellow
4,blue,maroon,none,standard,standard,none,nut,yellow
5,white,maroon,blue_dot,standard,standard,none,nut,yellow
6,white,maroon,none,standard,standard,black_hat,none,yellow
7,white,maroon,none,standard,standard,red_hat,nut,yellow
8,blue,maroon,none,standard,standard,red_hat,nut,yellow
9,blue,maroon,none,standard,standard,black_hat,nut,yellow
10,white,maroon,none,standard,standard,red_hat,none,yellow
11,white,maroon,blue_dot,standard,standard,red_hat,nut,yellow
12,blue,maroon,blue_dot,standard,standard,none,nut,yellow
13,blue,maroon,blue_dot,standard,standard,red_hat,nut,yellow
14,blue,maroon,none,standard,standard,none,none,yellow
15,blue,maroon,blue_dot,standard,standard,black_hat,nut,yellow
16,blue,maroon,blue_dot,standard,standard,blue_hat,nut,yellow
17,blue,maroon,none,standard,standard,black_hat,none,yellow
18,white,maroon,blue_dot,standard,standard,black_hat,nut,yellow
19,white,maroon,blue_dot,standard,standard,black_hat,none,yellow
20,blue,maroon,none,standard,standard,red_hat,none,yellow
21,white,maroon,blue_dot,standard,standard,none,none,yellow
22,white,maroon,none,standard,standard,none,none,yellow
23,blue,maroon,none,standard,standard,blue_hat,nut,yellow
